problem_set_number: 0
problems: 356
test_problems: 100

-problem: 1
 correct_answer: 5730
 values: [669,421,470,721,109,651,246,342,866,292,127,809,627,632,234,145]

-problem: 2
 correct_answer: 7123
 values: [900,570,984,832,10,92,482,181,913,348,324,345,593,363,120,418,104,596,500,46]

-problem: 3
 correct_answer: 6885
 values: [404,226,818,639,813,253,379,891,951,391,18,401,396,98,372,723,473,863]

-problem: 4
 correct_answer: 2400
 values: [743,317,714,86,171,580,39,192]

-problem: 5
 correct_answer: 6597
 values: [840,160,785,947,20,835,906,177,353,336,573,786,620,572]

-problem: 6
 correct_answer: 3314
 values: [440,724,827,729,966,247,131,324,21]

-problem: 7
 correct_answer: 2725
 values: [591,474,454,64,74,378,187,340,570,461]

-problem: 8
 correct_answer: 4792
 values: [473,247,776,272,852,793,710,475,425,406,67,931]

-problem: 9
 correct_answer: 4429
 values: [693,751,998,287,749,881,492,34,868,182]

-problem: 10
 correct_answer: 7217
 values: [46,190,804,891,983,554,94,80,306,862,474,382,577,635,820,431,760,921]

-problem: 11
 correct_answer: 3282
 values: [716,568,872,759,468,696,143,16,52,44]

-problem: 12
 correct_answer: 2278
 values: [159,44,617,372,903,599]

-problem: 13
 correct_answer: 7401
 values: [670,284,376,158,388,51,551,999,942,854,262,39,893,135,717,758,674,822,45]

-problem: 14
 correct_answer: 678
 values: [678]

-problem: 15
 correct_answer: 3299
 values: [316,664,602,875,138,826,618,521]

-problem: 16
 correct_answer: 610
 values: [610]

-problem: 17
 correct_answer: 5657
 values: [844,920,389,515,652,350,71,767,170,568,432,99,653,235]

-problem: 18
 correct_answer: 5944
 values: [958,565,967,852,991,614,809,509,208,193,168,744,323]

-problem: 19
 correct_answer: 4086
 values: [376,435,740,178,43,604,336,797,647,244,744]

-problem: 20
 correct_answer: 1124
 values: [59,159,340,725]

-problem: 21
 correct_answer: 3964
 values: [163,860,388,347,403,226,623,513,366,323,110,103,622]

-problem: 22
 correct_answer: 7304
 values: [644,597,570,861,263,735,745,272,593,154,508,603,533,949,173,748,321]

-problem: 23
 correct_answer: 2722
 values: [77,138,880,495,783,715,555]

-problem: 24
 correct_answer: 1253
 values: [710,543,192]

-problem: 25
 correct_answer: 5081
 values: [881,683,361,432,879,128,226,157,905,952,581,30,93]

-problem: 26
 correct_answer: 659
 values: [349,310]

-problem: 27
 correct_answer: 145
 values: [145]

-problem: 28
 correct_answer: 5595
 values: [895,416,495,960,541,866,514,971,476,483,501,431]

-problem: 29
 correct_answer: 4086
 values: [389,387,845,945,353,264,913,186,199,531]

-problem: 30
 correct_answer: 1045
 values: [563,482,18]

-problem: 31
 correct_answer: 310
 values: [310]

-problem: 32
 correct_answer: 5117
 values: [110,119,232,661,143,615,763,592,634,635,633,760,467,707]

-problem: 33
 correct_answer: 4777
 values: [950,715,263,373,570,624,594,344,435,481,750]

-problem: 34
 correct_answer: 4181
 values: [43,132,458,617,389,899,269,422,608,129,409,725]

-problem: 35
 correct_answer: 5042
 values: [697,742,541,860,908,235,339,158,51,644,92,694]

-problem: 36
 correct_answer: 5799
 values: [224,197,987,255,60,613,129,367,178,725,891,901,372,679,704,415]

-problem: 37
 correct_answer: 5638
 values: [807,508,61,232,853,613,429,126,920,857,883,928]

-problem: 38
 correct_answer: 6678
 values: [261,267,882,29,954,67,368,598,44,776,665,401,499,276,741,928,198]

-problem: 39
 correct_answer: 2496
 values: [957,72,217,913,554,396]

-problem: 40
 correct_answer: 50
 values: [50]

-problem: 41
 correct_answer: 274
 values: [274]

-problem: 42
 correct_answer: 3013
 values: [450,179,498,507,337,769,18,789]

-problem: 43
 correct_answer: 4368
 values: [18,630,85,384,784,808,539,508,173,866,639]

-problem: 44
 correct_answer: 861
 values: [861]

-problem: 45
 correct_answer: 7865
 values: [138,979,168,387,747,321,983,659,299,318,672,438,329,226,8,844,600,441,732,251]

-problem: 46
 correct_answer: 6730
 values: [347,896,799,649,37,342,932,217,515,272,510,145,956,310,523,102,842,218]

-problem: 47
 correct_answer: 6906
 values: [896,154,509,804,687,246,881,782,543,471,855,204,64,447,929]

-problem: 48
 correct_answer: 6039
 values: [280,322,913,806,829,900,847,686,315,430,470,972,162,536]

-problem: 49
 correct_answer: 4893
 values: [656,54,580,22,895,1000,207,184,766,346,812]

-problem: 50
 correct_answer: 2381
 values: [491,160,99,702,563,82,36,429]

-problem: 51
 correct_answer: 6534
 values: [687,270,600,976,772,348,419,467,504,279,37,57,551,394,141,835,847,702]

-problem: 52
 correct_answer: 1451
 values: [596,855,218]

-problem: 53
 correct_answer: 3225
 values: [115,980,300,314,401,661,713,702,69]

-problem: 54
 correct_answer: 2646
 values: [44,775,334,511,767,770,4]

-problem: 55
 correct_answer: 1832
 values: [548,895,929,355]

-problem: 56
 correct_answer: 5356
 values: [220,342,54,619,458,714,521,339,298,588,191,640,117,560,854]

-problem: 57
 correct_answer: 6469
 values: [858,886,435,6,60,861,280,777,872,919,702,901,81,120,126,6,306]

-problem: 58
 correct_answer: 6673
 values: [551,518,860,154,96,905,250,880,449,455,545,235,352,351,412,51,28,216,917,386]

-problem: 59
 correct_answer: 1740
 values: [774,966]

-problem: 60
 correct_answer: 3842
 values: [190,839,187,283,577,334,881,122,569,503]

-problem: 61
 correct_answer: 6323
 values: [622,166,675,867,94,866,202,977,215,601,912,104,803]

-problem: 62
 correct_answer: 1594
 values: [424,581,240,405,184]

-problem: 63
 correct_answer: 2570
 values: [664,560,680,395,951]

-problem: 64
 correct_answer: 5988
 values: [983,891,700,144,664,743,808,793,974,245,194,507,376,239]

-problem: 65
 correct_answer: 4224
 values: [443,595,33,947,785,773,354,317,76,407,178,376]

-problem: 66
 correct_answer: 2443
 values: [194,586,727,744,452,678]

-problem: 67
 correct_answer: 6012
 values: [828,113,968,41,856,287,746,864,740,790,90,793,167]

-problem: 68
 correct_answer: 1551
 values: [97,981,570]

-problem: 69
 correct_answer: 2282
 values: [623,533,321,798,328]

-problem: 70
 correct_answer: 2521
 values: [967,64,500,603,887]

-problem: 71
 correct_answer: 7563
 values: [919,817,681,424,215,235,187,999,139,437,372,141,652,227,822,314,26,77,623,782]

-problem: 72
 correct_answer: 7754
 values: [71,64,745,15,886,70,69,760,776,494,982,822,324,685,976,213,96,885]

-problem: 73
 correct_answer: 2933
 values: [830,362,251,60,26,654,216,772,255,133]

-problem: 74
 correct_answer: 1779
 values: [495,88,705,579,146]

-problem: 75
 correct_answer: 3326
 values: [972,692,859,252,657,753,426,85]

-problem: 76
 correct_answer: 1152
 values: [777,375]

-problem: 77
 correct_answer: 2727
 values: [824,487,503,31,351,381,988]

-problem: 78
 correct_answer: 2827
 values: [943,152,986,414,898]

-problem: 79
 correct_answer: 5171
 values: [632,559,960,486,172,562,266,846,756,346,929]

-problem: 80
 correct_answer: 4092
 values: [277,365,911,127,654,251,663,752,183,19,728]

-problem: 81
 correct_answer: 3876
 values: [57,97,551,229,390,686,376,653,435,627,632,432]

-problem: 82
 correct_answer: 5034
 values: [237,388,374,37,247,262,212,523,573,706,775,143,851,184,908]

-problem: 83
 correct_answer: 3305
 values: [274,670,153,352,840,499,456,713]

-problem: 84
 correct_answer: 6616
 values: [414,558,785,692,234,810,312,247,37,156,740,185,314,261,86,739,281,880,513,148]

-problem: 85
 correct_answer: 4845
 values: [934,62,269,602,979,153,260,763,323,132,580,103,197,183,316]

-problem: 86
 correct_answer: 4829
 values: [417,320,665,528,646,627,576,252,536,216,298,691,573]

-problem: 87
 correct_answer: 1887
 values: [545,242,375,656,444]

-problem: 88
 correct_answer: 420
 values: [420]

-problem: 89
 correct_answer: 2225
 values: [167,595,604,964,499]

-problem: 90
 correct_answer: 9277
 values: [850,878,508,300,690,175,819,638,411,590,865,680,664,92,787,114,335,934,400,927]

-problem: 91
 correct_answer: 8243
 values: [976,546,729,475,876,371,296,628,516,798,202,639,480,47,626,715,102,842,346]

-problem: 92
 correct_answer: 2944
 values: [760,502,164,699,533,85,252,84,198]

-problem: 93
 correct_answer: 6626
 values: [260,481,810,185,826,607,116,643,77,62,248,17,395,22,995,520,719,825]

-problem: 94
 correct_answer: 1137
 values: [241,89,742,154]

-problem: 95
 correct_answer: 2559
 values: [608,138,75,95,499,556,300,145,574,184]

-problem: 96
 correct_answer: 2193
 values: [694,573,161,926]

-problem: 97
 correct_answer: 7559
 values: [355,369,15,820,965,765,370,291,424,535,456,606,990,99,631,407,349,12,991,96]

-problem: 98
 correct_answer: 495
 values: [414,81]

-problem: 99
 correct_answer: 4214
 values: [405,66,156,497,210,411,7,250,826,923,145,989]

-problem: 100
 correct_answer: 1387
 values: [231,426,640,516]

-problem: 101
 values: [978,356,499,146,964,465,415,678,521]

-problem: 102
 values: [665,297,533,388,917,321,56,359,58,191,703,31,579,661,420]

-problem: 103
 values: [859,503,853,729,174,388,135]

-problem: 104
 values: [296,854,520,730,724,515]

-problem: 105
 values: [772,93,646,200,86,34,892,130,91,150,400,598,300,856,366,307,814,756,789,899]

-problem: 106
 values: [790,383,341,178,444]

-problem: 107
 values: [637,991,18,877,378,696,618]

-problem: 108
 values: [296,914,237,474,255,231,447,651,841,14,318,986]

-problem: 109
 values: [641,106,81,621,837]

-problem: 110
 values: [470,623,836,430,621,264,420,390,317,184,186,13,229,638]

-problem: 111
 values: [752,877,662,951,619,526,59,103,807,861,645,771,697,164]

-problem: 112
 values: [981,560,938,175,644,363,28,167,569,244,287,844,201,370,453,371,540,108]

-problem: 113
 values: [164,852,318,929,964,713,966,599,808,417,415,166,359,823,722,909,790,103,548,18]

-problem: 114
 values: [489,989]

-problem: 115
 values: [269,668,671,673,95,289,308,205,959]

-problem: 116
 values: [218,454,399]

-problem: 117
 values: [902,601,312,936,454,332,857,974,889]

-problem: 118
 values: [397,547,880,381,242,926,548,127,152,466,543,514,805,884,386,631,99,28,436,332]

-problem: 119
 values: [825,96,939,157,379,757,46,210,979,423,173,570,158]

-problem: 120
 values: [986,163,721,677,564,928,979,254,458,969,188,741,855,906,367,232,486,118,795]

-problem: 121
 values: [196,206,304,715]

-problem: 122
 values: [527,653,517,980,37,853]

-problem: 123
 values: [43,117,805,359]

-problem: 124
 values: [621,992,939,908,937,456,276,289,695,539,736,393]

-problem: 125
 values: [452]

-problem: 126
 values: [866,925,705,411,453,374,24,396,193,140,371,975,12,65]

-problem: 127
 values: [12,424,73,185,219,493,856,334]

-problem: 128
 values: [252,268,620,247,243,9,524,401,203,904,791,46,963,766,546]

-problem: 129
 values: [550,90,386,319,550,337,380,429,407,547,343,831,148,289,414]

-problem: 130
 values: [302,557,711,83,411,771,360,937,457,20]

-problem: 131
 values: [31,701,357,871,150,511,674,123,416,32,771]

-problem: 132
 values: [540,627,436,579,548,286,634,66,331,447,253,797,275,642,433,142,571,619]

-problem: 133
 values: [524,463,620,59]

-problem: 134
 values: [799,850,764,444,938,108,953,920,362,261,680,940,539,89,622,686,835,693,339]

-problem: 135
 values: [663,263,259,431,545,952]

-problem: 136
 values: [597,423]

-problem: 137
 values: [383]

-problem: 138
 values: [352,475,855,632,545,710,599,725,649,625,661,93,910,43,88,549,701,624]

-problem: 139
 values: [791,186,953,498,224,904]

-problem: 140
 values: [992,77,611,204,870,515,515,50,279,916,239,638]

-problem: 141
 values: [444,878,410,938,545,865,378,600,245,16,263,887,281,176,602,632,40]

-problem: 142
 values: [648,46,508,579,565,198,430,668,885]

-problem: 143
 values: [329,249,358,631,366,378,753,511,85,27,182,738,721,812,89,288,880,254,49,159]

-problem: 144
 values: [37,581]

-problem: 145
 values: [442,977,526,328,354,905,903,20,548,203,398]

-problem: 146
 values: [679,831,187,932,412,481,605,726,832,549,148,826,250,892]

-problem: 147
 values: [685,329,695,924,452,849,818,388,892,441,149]

-problem: 148
 values: [301,157,485,740,626,56,118,862,260,188,481,764,982,294,612,267]

-problem: 149
 values: [103,393]

-problem: 150
 values: [348,490,878,373,395,249,689,531,471,22,995,673,981,66,115,414,899,545,930,427]

-problem: 151
 values: [191,549]

-problem: 152
 values: [145,773,751,233,416,655,144,507,818,445,279,523,81,786,189,911,890,288]

-problem: 153
 values: [631,447,295,370,518,423,242,476,312,188,150,142,583,228,533,741,686]

-problem: 154
 values: [27,196,965,680,483,355,726,819,844]

-problem: 155
 values: [162,169,492,655,653,891,441,585,226,824,64,551]

-problem: 156
 values: [619,116,968,108]

-problem: 157
 values: [541]

-problem: 158
 values: [192,236,350]

-problem: 159
 values: [913,670,223,71,254,881,332,611,529,264,217,653,901,529]

-problem: 160
 values: [610,341,818,971,559,152,742,878,444,289,700,32,402,175,813,147,2,961,777,600]

-problem: 161
 values: [284,561,46,968,755,666]

-problem: 162
 values: [356,817,952,342,958,198,573,449,601,560,13,477,470]

-problem: 163
 values: [219,466,791,579,675,286,600,446,253,24,938,327,426,803,120,104,532,340,483]

-problem: 164
 values: [477,144,273,747,82,742,894,904,53,23,371,604,202]

-problem: 165
 values: [534,157,918,688]

-problem: 166
 values: [600,496,60,45,490,303,179,643,806,568,279,652,372,816]

-problem: 167
 values: [934,719,726]

-problem: 168
 values: [69,321,670,386,30,382,558,791,922,381,730,233,820,677,752,146,29,912,127]

-problem: 169
 values: [768,46,750,377,824,233,90,207,693,213,300,880,44]

-problem: 170
 values: [988,678,193,262,118,700,969,594,72,259,693,345,713]

-problem: 171
 values: [793,397,669,773]

-problem: 172
 values: [447,275,545,712,592,620,26,976,827,786,983,509,293,331,486,139,90,585,353]

-problem: 173
 values: [209,205,456,130,913,208,877,209,867,661,193,780,321,557,165,285,310,603]

-problem: 174
 values: [583,139,349,110,205,88,328,387]

-problem: 175
 values: [165,689,621,375,253,164,924,700,676,241,15,944,412,319,663,406,6]

-problem: 176
 values: [55,261]

-problem: 177
 values: [66,746,724,967,151,330,382,314,229,393,556,636,724,893,903]

-problem: 178
 values: [650,534]

-problem: 179
 values: [849,889,297,54,843,551,980,789,775,672,507]

-problem: 180
 values: [916,310,602,953,368,169,801]

-problem: 181
 values: [188,49,266,179,74,162,124,599,211,396,871,847,360]

-problem: 182
 values: [787,803,740,570,740,438,643,949,969,222,3,474,948,686]

-problem: 183
 values: [39,120,723,58,533,642,477,773]

-problem: 184
